UF de notificação;Ano;Ign/Branco;1º Trimestre;2º Trimestre;3º Trimestre;Idade gestacional Ignorada;Não;Não se Aplica
52 Goiás;2001;53;0;0;0;0;14;63
11 Rondônia;2002;1333;0;0;0;0;0;2440
12 Acre;2002;698;0;0;0;0;32;1588
13 Amazonas;2002;66;0;0;0;0;0;215
14 Roraima;2002;708;0;0;0;0;0;1563
15 Pará;2002;4063;0;0;0;0;5;8959
16 Amapá;2002;249;0;0;0;0;0;900
17 Tocantins;2002;1128;0;0;0;0;477;3815
21 Maranhão;2002;4476;0;0;0;0;383;9627
22 Piauí;2002;630;0;0;0;0;0;758
23 Ceará;2002;201;0;0;0;0;0;427
24 Rio Grande do Norte;2002;7;0;0;0;0;0;2
25 Paraíba;2002;843;0;0;0;0;2;955
26 Pernambuco;2002;3210;0;0;0;0;76;4060
27 Alagoas;2002;630;0;0;0;0;0;772
28 Sergipe;2002;747;0;0;0;0;13;1262
29 Bahia;2002;1895;0;0;0;0;0;2732
31 Minas Gerais;2002;8227;0;0;1;1;156;11810
32 Espírito Santo;2002;2049;0;0;0;0;26;2925
33 Rio de Janeiro;2002;2979;0;0;0;0;48;4445
35 São Paulo;2002;4492;0;7;0;0;124;7749
41 Paraná;2002;1171;0;0;0;0;129;1755
42 Santa Catarina;2002;741;0;0;0;0;0;1046
43 Rio Grande do Sul;2002;958;0;0;0;0;37;1359
50 Mato Grosso do Sul;2002;497;0;0;0;0;38;927
